epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2549,1.39625,3.65488,1.50205,0.08992,0.44593,0.20912,0.11564,1.56219,3.67559,1.4028,0.00017,0.00017,0.00017
2,18.4005,1.44161,3.00691,1.41521,0.0541,0.78179,0.2928,0.1603,1.58795,3.44147,1.32451,0.00034307,0.00034307,0.00034307
3,26.0785,1.37487,2.35151,1.40753,0.0612,0.78597,0.44071,0.25929,1.46206,3.1729,1.3233,0.000509012,0.000509012,0.000509012
4,32.1082,1.39151,1.86795,1.43101,0.89467,0.31621,0.59087,0.32625,1.58645,2.7547,1.41898,0.000667826,0.000667826,0.000667826
5,39.1702,1.35227,1.5897,1.45078,0.86236,0.33016,0.59333,0.34434,1.55794,2.75792,1.50498,0.000819512,0.000819512,0.000819512
6,46.5834,1.32437,1.50861,1.38495,0.95903,0.24242,0.54472,0.31843,1.59032,2.83528,1.58087,0.000901,0.000901,0.000901
7,53.1713,1.384,1.44365,1.37235,0.64804,0.49038,0.55086,0.3218,1.57716,2.51915,1.59569,0.0008812,0.0008812,0.0008812
8,61.1906,1.32939,1.42956,1.37835,0.80318,0.45229,0.58455,0.34287,1.62653,2.46669,1.57232,0.0008614,0.0008614,0.0008614
9,68.7797,1.32956,1.38622,1.38694,0.82563,0.42771,0.53958,0.34181,1.53332,2.23605,1.47938,0.0008416,0.0008416,0.0008416
10,76.3187,1.30627,1.33334,1.37348,0.81582,0.49274,0.61109,0.36076,1.55123,2.12201,1.50478,0.0008218,0.0008218,0.0008218
11,83.3568,1.33069,1.27446,1.38112,0.67096,0.47919,0.55561,0.34216,1.54835,2.37367,1.53611,0.000802,0.000802,0.000802
12,90.2154,1.25408,1.26245,1.34623,0.61035,0.48336,0.55345,0.34858,1.53436,2.2805,1.48787,0.0007822,0.0007822,0.0007822
13,96.0735,1.23471,1.22037,1.32272,0.70425,0.48676,0.5599,0.33774,1.53856,2.172,1.51638,0.0007624,0.0007624,0.0007624
14,102.907,1.255,1.19545,1.34994,0.88849,0.46624,0.57132,0.34705,1.51359,2.53201,1.49491,0.0007426,0.0007426,0.0007426
15,108.54,1.24766,1.18578,1.35898,0.75842,0.44865,0.51386,0.3022,1.59581,2.29441,1.50748,0.0007228,0.0007228,0.0007228
16,115.951,1.29052,1.13742,1.32796,0.6268,0.469,0.49633,0.29802,1.5469,2.52945,1.5293,0.000703,0.000703,0.000703
17,121.926,1.23222,1.11511,1.31092,0.65538,0.45691,0.53366,0.33909,1.47019,2.57742,1.47456,0.0006832,0.0006832,0.0006832
18,129.494,1.21421,1.09343,1.33128,0.83287,0.54955,0.61743,0.3685,1.4845,2.31885,1.47334,0.0006634,0.0006634,0.0006634
19,135.152,1.23228,1.08193,1.29174,0.88626,0.531,0.62493,0.3871,1.4644,2.26994,1.45454,0.0006436,0.0006436,0.0006436
20,141.996,1.14467,1.04302,1.28445,0.85173,0.53952,0.64237,0.39236,1.47387,2.23324,1.45588,0.0006238,0.0006238,0.0006238
21,148.398,1.20377,1.05435,1.32175,0.82552,0.54219,0.60342,0.37074,1.45456,2.36079,1.48677,0.000604,0.000604,0.000604
22,155.702,1.19269,0.98392,1.29586,0.82274,0.52014,0.61219,0.36453,1.52219,2.39689,1.49082,0.0005842,0.0005842,0.0005842
23,161.37,1.18215,1.00267,1.2748,0.86148,0.51732,0.62197,0.38059,1.51482,2.16413,1.47142,0.0005644,0.0005644,0.0005644
24,167.405,1.15081,0.97228,1.27183,0.90061,0.54186,0.61174,0.3802,1.48031,2.36145,1.47487,0.0005446,0.0005446,0.0005446
25,174.566,1.13867,0.95198,1.25492,0.88722,0.50509,0.59605,0.36346,1.47805,2.42849,1.45724,0.0005248,0.0005248,0.0005248
26,180.559,1.14973,0.92108,1.24529,0.7722,0.50509,0.60896,0.36684,1.47342,2.28998,1.45085,0.000505,0.000505,0.000505
27,187.375,1.10834,0.93657,1.25065,0.86847,0.50158,0.58167,0.33513,1.55372,2.30659,1.50835,0.0004852,0.0004852,0.0004852
28,193.04,1.1842,0.94447,1.27985,0.89121,0.51251,0.61004,0.36395,1.4939,2.38704,1.45869,0.0004654,0.0004654,0.0004654
29,200.055,1.14928,0.92624,1.27758,0.88355,0.53484,0.62322,0.38956,1.45533,2.34572,1.43151,0.0004456,0.0004456,0.0004456
30,206.175,1.17892,0.90352,1.27437,0.84561,0.56382,0.60446,0.35674,1.47779,2.2968,1.46631,0.0004258,0.0004258,0.0004258
31,213.167,1.08954,0.84871,1.21327,0.85455,0.5681,0.61143,0.37159,1.46608,2.20391,1.43781,0.000406,0.000406,0.000406
32,218.586,1.11024,0.86768,1.22472,0.8928,0.5457,0.66695,0.40294,1.49601,2.46614,1.45322,0.0003862,0.0003862,0.0003862
33,224.975,1.10552,0.89924,1.27174,0.94066,0.47931,0.62434,0.38412,1.48093,2.40378,1.45188,0.0003664,0.0003664,0.0003664
34,231.458,1.10533,0.84957,1.23612,0.79908,0.53466,0.61099,0.36606,1.46268,2.23326,1.44868,0.0003466,0.0003466,0.0003466
35,236.97,1.08155,0.83705,1.22502,0.92649,0.51629,0.62402,0.38705,1.43009,2.30903,1.42524,0.0003268,0.0003268,0.0003268
36,243.729,1.09432,0.81908,1.20864,0.91312,0.53349,0.64438,0.39396,1.42606,2.32522,1.41362,0.000307,0.000307,0.000307
37,249.792,1.08627,0.83358,1.22156,0.84491,0.55305,0.64766,0.39839,1.4549,2.25434,1.42932,0.0002872,0.0002872,0.0002872
38,257.216,1.04484,0.79895,1.21471,0.75537,0.59751,0.64107,0.39076,1.43967,2.21443,1.42851,0.0002674,0.0002674,0.0002674
39,263.037,1.04982,0.78417,1.21017,0.93069,0.5233,0.63784,0.38387,1.42567,2.24463,1.42395,0.0002476,0.0002476,0.0002476
40,270.863,0.99896,0.77305,1.18472,0.81787,0.57119,0.63055,0.38493,1.43435,2.30824,1.42133,0.0002278,0.0002278,0.0002278
41,278.107,1.00159,0.8297,1.21651,0.88797,0.53801,0.63124,0.39649,1.42118,2.25029,1.4077,0.000208,0.000208,0.000208
42,286.078,0.97714,0.8093,1.18859,0.96585,0.5086,0.62695,0.38554,1.46643,2.20469,1.4189,0.0001882,0.0001882,0.0001882
43,291.468,1.01054,0.79255,1.20025,0.91693,0.53757,0.62622,0.38921,1.44639,2.24035,1.41926,0.0001684,0.0001684,0.0001684
44,298.716,0.9728,0.75455,1.17984,0.88256,0.53869,0.62552,0.3905,1.4334,2.2129,1.42755,0.0001486,0.0001486,0.0001486
45,304.653,0.98073,0.74148,1.19207,0.85037,0.54604,0.62781,0.38607,1.44085,2.24019,1.43734,0.0001288,0.0001288,0.0001288
46,311.6,0.96552,0.77516,1.18007,0.8133,0.55724,0.63326,0.38288,1.43829,2.27338,1.43097,0.000109,0.000109,0.000109
47,316.845,0.956,0.72946,1.17045,0.83531,0.55724,0.63647,0.38295,1.4335,2.2486,1.42428,8.92e-05,8.92e-05,8.92e-05
48,322.92,0.92186,0.71414,1.175,0.84627,0.55663,0.64043,0.38998,1.42941,2.22419,1.42931,6.94e-05,6.94e-05,6.94e-05
49,329.487,0.9073,0.73118,1.16175,0.87062,0.55671,0.64279,0.38964,1.43225,2.25581,1.43233,4.96e-05,4.96e-05,4.96e-05
50,335.06,0.93052,0.72508,1.17517,0.89056,0.54186,0.6464,0.39209,1.43298,2.26389,1.43113,2.98e-05,2.98e-05,2.98e-05
