epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0825,1.34585,3.38957,1.51968,0.09043,0.59819,0.3261,0.17111,1.79991,3.4911,1.39079,0.00032381,0.00032381,0.00032381
2,26.7687,1.42089,2.39478,1.52084,0.06281,0.7052,0.36078,0.21448,1.53559,3.40348,1.44899,0.000644131,0.000644131,0.000644131
3,40.9587,1.41139,1.9374,1.49841,0.48878,0.25884,0.37059,0.21435,1.61872,3.14781,1.55157,0.000951253,0.000951253,0.000951253
4,54.5763,1.41432,1.8181,1.49503,0.72338,0.36415,0.43838,0.23085,1.74637,3.17043,1.73059,0.0009406,0.0009406,0.0009406
5,67.8176,1.41888,1.6789,1.5176,0.72544,0.4043,0.44654,0.25733,1.74038,2.66531,1.86166,0.0009208,0.0009208,0.0009208
6,81.7277,1.38995,1.58065,1.49705,0.58945,0.4302,0.45223,0.25153,1.79296,2.86381,1.71369,0.000901,0.000901,0.000901
7,95.2274,1.29139,1.55708,1.45117,0.52835,0.36867,0.44604,0.26157,1.59957,2.92918,1.57883,0.0008812,0.0008812,0.0008812
8,108.842,1.33494,1.4798,1.45814,0.60775,0.45542,0.49335,0.29783,1.64479,2.89327,1.62265,0.0008614,0.0008614,0.0008614
9,122.21,1.3012,1.41728,1.44844,0.69729,0.37274,0.43152,0.24651,1.63212,3.50724,1.60017,0.0008416,0.0008416,0.0008416
10,135.452,1.28921,1.39996,1.43494,0.72218,0.38589,0.48751,0.30819,1.62215,2.74714,1.51288,0.0008218,0.0008218,0.0008218
11,148.953,1.31706,1.27384,1.43153,0.71188,0.41418,0.47518,0.29714,1.57133,2.8984,1.51386,0.000802,0.000802,0.000802
12,162.458,1.30597,1.28799,1.42479,0.64361,0.47301,0.51399,0.30307,1.63196,2.68176,1.66236,0.0007822,0.0007822,0.0007822
13,175.395,1.26264,1.26487,1.3963,0.50847,0.34016,0.41531,0.24298,1.57984,3.34676,1.56727,0.0007624,0.0007624,0.0007624
14,188.903,1.26639,1.21598,1.40551,0.65795,0.48654,0.55609,0.34783,1.55923,2.66393,1.55392,0.0007426,0.0007426,0.0007426
15,202.275,1.25334,1.14353,1.40636,0.60289,0.47537,0.43926,0.26224,1.54017,2.56678,1.5127,0.0007228,0.0007228,0.0007228
16,215.309,1.26726,1.1865,1.41461,0.79988,0.5028,0.55267,0.33678,1.56609,2.75344,1.52577,0.000703,0.000703,0.000703
17,228.15,1.22739,1.07674,1.36463,0.7909,0.47919,0.5654,0.34149,1.5468,2.57519,1.4939,0.0006832,0.0006832,0.0006832
18,240.547,1.24096,1.06496,1.3807,0.81766,0.52446,0.5946,0.36117,1.52031,2.47564,1.53611,0.0006634,0.0006634,0.0006634
19,253.27,1.19183,1.03485,1.38003,0.90287,0.4974,0.57268,0.35041,1.51231,2.7345,1.52839,0.0006436,0.0006436,0.0006436
20,266.318,1.17231,1.01136,1.36225,0.86719,0.49932,0.58185,0.36257,1.49567,2.4352,1.50603,0.0006238,0.0006238,0.0006238
21,279.41,1.1737,0.99605,1.32601,0.90764,0.47193,0.57227,0.34556,1.54879,2.50176,1.54124,0.000604,0.000604,0.000604
22,292.309,1.17059,0.97448,1.34576,0.76745,0.48047,0.53471,0.31594,1.58355,2.75292,1.52461,0.0005842,0.0005842,0.0005842
23,305.261,1.211,0.99049,1.37213,0.68626,0.45677,0.55241,0.33784,1.48085,2.79647,1.53236,0.0005644,0.0005644,0.0005644
