epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.63482,2.54569,3.45004,2.52066,0.01699,0.4414,0.11689,0.04256,2.84401,3.44504,2.52535,5.716e-05,5.716e-05,5.716e-05
2,22.3402,2.612,3.44048,2.56078,0.02196,0.49808,0.16964,0.08766,2.50017,3.33404,2.33927,0.000126064,0.000126064,0.000126064
3,25.8641,2.38925,3.22577,2.4004,0.44785,0.13971,0.25915,0.13708,2.32538,3.29944,2.30779,0.000192138,0.000192138,0.000192138
4,28.2119,2.26162,3.02013,2.20951,0.47931,0.11029,0.29001,0.16607,2.30392,3.23682,2.3125,0.000255382,0.000255382,0.000255382
5,30.7526,2.22497,2.8662,2.12876,0.52242,0.24376,0.33274,0.18468,2.22521,3.12643,2.27864,0.000315798,0.000315798,0.000315798
6,33.1076,2.17941,2.65796,2.05447,0.53865,0.29511,0.35411,0.19152,2.22042,3.03088,2.27767,0.000373383,0.000373383,0.000373383
7,35.9093,2.03398,2.51014,2.00541,0.52842,0.33374,0.36633,0.19863,2.22327,2.81963,2.23957,0.00042814,0.00042814,0.00042814
8,39.4581,1.98641,2.29951,1.90583,0.45976,0.39149,0.39589,0.2104,2.1876,2.66394,2.21085,0.000480067,0.000480067,0.000480067
9,41.966,1.9251,2.23609,1.83453,0.52392,0.45396,0.45066,0.2411,2.07369,2.45336,2.16879,0.000529164,0.000529164,0.000529164
10,44.2428,1.93787,2.01578,1.77719,0.49393,0.52149,0.48641,0.26318,1.99753,2.28246,2.05658,0.000575433,0.000575433,0.000575433
11,46.6176,1.80843,1.96398,1.7537,0.60244,0.49593,0.48955,0.26208,1.99738,2.2732,1.97619,0.000618871,0.000618871,0.000618871
12,48.9614,1.84558,1.86159,1.70147,0.58096,0.47839,0.49471,0.24887,2.0058,2.3484,1.951,0.000659481,0.000659481,0.000659481
13,52.4827,1.80748,1.86642,1.73245,0.57944,0.49762,0.51627,0.27899,1.88894,2.31464,1.86907,0.000697261,0.000697261,0.000697261
