epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.29378,1.39625,3.65488,1.50205,0.08992,0.44593,0.20912,0.11564,1.56219,3.67559,1.4028,0.00017,0.00017,0.00017
2,15.5265,1.44161,3.00691,1.41521,0.0541,0.78179,0.2928,0.1603,1.58795,3.44147,1.32451,0.00034307,0.00034307,0.00034307
3,21.3984,1.37487,2.35151,1.40753,0.0612,0.78597,0.44071,0.25929,1.46206,3.1729,1.3233,0.000509012,0.000509012,0.000509012
